THEME,SYMBOL,KOR,MARKET,DESC
FAN,CITY,맨체스터시티팬토큰,,
FAN,ALPINE,알파인F1팀팬토큰,,
FAN,PORTO,FC포르투팬토큰,,
FAN,ASR,AS로마팬토큰,,
FAN,SANTOS,산투스FC팬토큰,,
FAN,BAR,FC바르셀로나팬토큰,,
FAN,JUV,유벤투스팬토큰,,
FAN,CHZ,칠리즈,,
PLATFORM,NEAR,니어프로토콜,,
PLATFORM,ETH,이더리움,,
PLATFORM,ALGO,알고랜드,,
PLATFORM,EOS,이오스,,
PLATFORM,DOT,폴카닷,,
PLATFORM,ATOM,코스모스,,
PLATFORM,LUNA,테라,,
PLATFORM,SOL,솔라나,,
PLATFORM,ADA,에이다,,
PLATFORM,AVAX,아발란체,,
PLATFORM,KLAY,클레이튼,,
PLATFORM,LSK,리스크,,
PLATFORM,TRX,트론,,
PLATFORM,NEO,네오,,
PLATFORM,ARK,아크,,
PLATFORM,XTZ,테조스,,
PLATFORM,ICX,아이콘,,
PLATFORM,ELF,엘프,,
PLATFORM,MATIC,폴리곤,,
BITCOIN,XEC,이캐시,,
BITCOIN,BTG,비트코인골드,,
BITCOIN,STX,스택스,,
BITCOIN,BTC,비트코인,,
BITCOIN,BSV,비트코인에스브이,,
BITCOIN,BCH,비트코인캐시,,
STORAGE,HOT,홀로,,
STORAGE,AR,알위브,,
STORAGE,STORJ,스토리지,,
STORAGE,BTT,비트토렌트,,
STORAGE,SC,시아코인,,
STORAGE,FIL,파일코인,,
STORAGE,GLM,골렘,,
DEX,RUNE,토르체인,,
DEX,KNC,카이버네트워크,,
DEX,SNX,신세틱스,,
DEX,ZRX,제로엑스,,
DEX,DYP,디파이일드프로토콜,,
DEX,CRV,커브,,
DEX,BNT,뱅코르,,
DEX,DYDX,디와이디엑스,,
DEX,SUSHI,스시,,
DEX,UNI,유니스왑,,
DEX,CAKE,팬케이크스왑,,
DEX,RAY,레이디움,,
MIM,DOGE,도지코인,,
MIM,SHIB,시바이누,,
DEFI,AVAX,아발란체,,
DEFI,XTZ,테조스,,
DEFI,LRC,루프링,,
DEFI,BAT,베이직어텐션토큰,,
DEFI,ANKR,앵커,,
DEFI,SRM,세럼,,
DEFI,LINA,리니어파이낸스,,
DEFI,JST,저스트,,
DEFI,GRT,그래프,,
DEFI,OGN,오리진프로토콜,,
DEFI,ETH,이더리움,,
DEFI,ATOM,코스모스,,
DEFI,VET,비체인,,
DEFI,OMG,오미세고,,
DEFI,CEL,셀시우스,,
DEFI,AAVE,에이브,,
DEFI,DYP,디파이일드프로토콜,,
DEFI,COMP,컴파운드,,
DEFI,XVS,비너스,,
DEFI,KAVA,카바,,
DEFI,ANC,앵커프로토콜,,
DEFI,MKR,메이커,,
DEFI,QI,벤키,,
DAO,FLM,플라밍고,,
DAO,AAVE,에이브,,
DAO,BIT,비트다오,,
DAO,PEOPLE,컨스티튜션다오,,
DAO,C98,코인98,,
DAO,CRV,커브,,
DAO,MKR,메이커,,
DAO,UNI,유니스왑,,
DAO,DAO,다오메이커,,
DAO,YGG,일드길드게임즈,,
BNB,EPX,일립시스,,
BNB,CHESS,트랜체스,,
BNB,XVS,비너스,,
BNB,BSW,비스왑,,
BNB,FOR,포튜브,,
BNB,ALPACA,알파카파이낸스,,
BNB,CAKE,팬케이크스왑,,
BNB,MDX,엠덱스,,
BNB,BNB,바이낸스코인,,
BNB,CREAM,크림파이낸스,,
KLAY,DKA,디카르고,,
KLAY,MARO,마로,,
KLAY,ORC,오르빗체인,,
KLAY,KSP,클레이스왑,,
KLAY,BORA,보라,,
KLAY,SSX,썸씽,,
KLAY,HUM,휴먼스케이프,,
KLAY,KLAY,클레이튼,,
KLAY,PLA,플레이댑,,
KLAY,DON,도니파이낸스,,
KLAY,PXL,픽셀,,
KLAY,WEMIX,위믹스,,
TERA,LUNA,테라,,
TERA,MIR,미러프로토콜,,
TERA,ANC,앵커프로토콜,,
TERA,USTC,테라USD클래식,,
TERA,LUNC,테라클래식,,
SOL,AUDIO,오디우스,,
SOL,SOL,솔라나,,
SOL,SRM,세럼,,
SOL,MNGO,망고,,
SOL,MAPS,맵스,,
SOL,OXY,옥시젠,,
SOL,FIDA,본피다,,
SOL,RAY,레이디움,,
MATIC,AAVE,에이브,,
MATIC,CRV,커브,,
MATIC,SUSHI,스시,,
MATIC,QUICK,퀵스왑,,
MATIC,MATIC,폴리곤,,
MATIC,BAL,발란서,,
MATIC,BIFI,비피파이낸스,,
DOT,DOT,폴카닷,,
DOT,CLV,클로버네트워크,,
DOT,POLS,폴카스타터,,
DOT,GLMR,문빔,,
DOT,ANKR,앵커,,
DOT,ASTR,아스타,,
DOT,KSM,쿠사마,,
DOT,PHA,팔라네트워크,,
DOT,IDV,이다볼네트워크,,
FTM,YFI,와이언파이낸스,,
FTM,FTM,팬텀,,
FTM,CRV,커브,,
FTM,SPELL,스펠토큰,,
FTM,BIFI,비피파이낸스,,
AVAX,JOE,조,,
AVAX,AAVE,에이브,,
AVAX,TIME,크로노테크,,
AVAX,CRV,커브,,
AVAX,AVAX,아발란체,,
AVAX,QI,벤키,,
KAKAO,DKA,디카르고,,
KAKAO,BORA,보라,,
KAKAO,HUM,휴먼스케이프,,
KAKAO,MARO,마로,,
MAJOR,BTC,비트코인,,
MAJOR,ETH,이더리움,,
MAJOR,ADA,에이다,,
MAJOR,XRP,리플,,
MAJOR,SOL,솔라나,,
MAJOR,DOT,폴카닷,,
MAJOR,DOGE,도지코인,,
SECURITY,UPP,센티넬프로토콜,,
MEDICAL,SOLVE,솔브케어,,
MEDICAL,MED,메디블록,,
BINANCE,1INCH,1인치네트워크,,
BINANCE,AAVE,에이브,,
BINANCE,FOR,포튜브,,
BINANCE,ANKR,앵커,,
BINANCE,LINK,체인링크,,
