symbol, 연속 하락 일, 총 하락 수, 연속 하락 후 상승 수, 상슬률%
POLY, 1, 746, 371.0, 49.73%
POLY, 2, 374, 179.0, 47.86%
POLY, 3, 194, 88.0, 45.36%
POLY, 4, 106, 49.0, 46.23%
POLY, 5, 57, 26.0, 45.61%
POLY, 6, 31, 18.0, 58.06%
POLY, 7, 13, 7.0, 53.85%
POLY, 8, 6, 3.0, 50.00%
POLY, 9, 3, 2.0, 66.67%
POLY, 10, 1, 1.0, 100.00%
ZRX, 1, 762, 376.0, 49.34%
ZRX, 2, 386, 188.0, 48.70%
ZRX, 3, 198, 92.0, 46.46%
