symbol, 연속 하락 일, 총 하락 수, 연속 하락 후 상승 수, 상슬률%
QTUM, 8, 5, 4.0, 80.00%
QTUM, 9, 1, 1.0, 100.00%
LSK, 1, 875, 428.0, 48.91%
LSK, 2, 446, 214.0, 47.98%
LSK, 3, 231, 110.0, 47.62%
LSK, 4, 121, 53.0, 43.80%
LSK, 5, 68, 27.0, 39.71%
LSK, 6, 41, 18.0, 43.90%
LSK, 7, 23, 12.0, 52.17%
LSK, 8, 11, 8.0, 72.73%
LSK, 9, 3, 3.0, 100.00%
STEEM, 1, 865, 421.0, 48.67%
STEEM, 2, 444, 211.0, 47.52%
STEEM, 3, 233, 109.0, 46.78%
STEEM, 4, 124, 61.0, 49.19%
STEEM, 5, 63, 33.0, 52.38%
STEEM, 6, 30, 17.0, 56.67%
STEEM, 7, 13, 10.0, 76.92%
STEEM, 8, 3, 2.0, 66.67%
STEEM, 9, 1, 1.0, 100.00%
XLM, 1, 870, 439.0, 50.46%
XLM, 2, 431, 220.0, 51.04%
XLM, 3, 211, 116.0, 54.98%
XLM, 4, 95, 49.0, 51.58%
XLM, 5, 46, 27.0, 58.70%
XLM, 6, 19, 13.0, 68.42%
XLM, 7, 6, 3.0, 50.00%
XLM, 8, 3, 1.0, 33.33%
XLM, 9, 2, 1.0, 50.00%
XLM, 10, 1, 1.0, 100.00%
ARDR, 1, 815, 416.0, 51.04%
ARDR, 2, 398, 196.0, 49.25%
ARDR, 3, 201, 100.0, 49.75%
ARDR, 4, 101, 48.0, 47.52%
ARDR, 5, 53, 24.0, 45.28%
ARDR, 6, 29, 14.0, 48.28%
ARDR, 7, 15, 10.0, 66.67%
ARDR, 8, 5, 5.0, 100.00%
ARK, 1, 867, 449.0, 51.79%
ARK, 2, 417, 217.0, 52.04%
ARK, 3, 199, 106.0, 53.27%
ARK, 4, 93, 50.0, 53.76%
ARK, 5, 43, 26.0, 60.47%
ARK, 6, 17, 11.0, 64.71%
ARK, 7, 6, 5.0, 83.33%
ARK, 8, 1, 1.0, 100.00%
STORJ, 1, 847, 423.0, 49.94%
STORJ, 2, 424, 217.0, 51.18%
STORJ, 3, 207, 105.0, 50.72%
STORJ, 4, 102, 51.0, 50.00%
STORJ, 5, 51, 25.0, 49.02%
STORJ, 6, 26, 14.0, 53.85%
STORJ, 7, 12, 10.0, 83.33%
STORJ, 8, 2, 2.0, 100.00%
GRS, 1, 857, 445.0, 51.93%
GRS, 2, 411, 217.0, 52.80%
GRS, 3, 193, 112.0, 58.03%
GRS, 4, 81, 45.0, 55.56%
GRS, 5, 36, 20.0, 55.56%
GRS, 6, 16, 11.0, 68.75%
GRS, 7, 5, 3.0, 60.00%
GRS, 8, 2, 2.0, 100.00%
REP, 1, 885, 449.0, 50.73%
REP, 2, 435, 219.0, 50.34%
REP, 3, 215, 108.0, 50.23%
REP, 4, 107, 52.0, 48.60%
REP, 5, 55, 24.0, 43.64%
REP, 6, 31, 16.0, 51.61%
REP, 7, 15, 11.0, 73.33%
REP, 8, 4, 3.0, 75.00%
REP, 9, 1, 1.0, 100.00%
ADA, 1, 858, 433.0, 50.47%
ADA, 2, 425, 206.0, 48.47%
ADA, 3, 219, 113.0, 51.60%
ADA, 4, 106, 55.0, 51.89%
ADA, 5, 51, 30.0, 58.82%
ADA, 6, 21, 12.0, 57.14%
ADA, 7, 9, 4.0, 44.44%
ADA, 8, 5, 3.0, 60.00%
ADA, 9, 2, 2.0, 100.00%
SBD, 1, 859, 430.0, 50.06%
SBD, 2, 428, 216.0, 50.47%
SBD, 3, 211, 105.0, 49.76%
SBD, 4, 106, 51.0, 48.11%
SBD, 5, 55, 29.0, 52.73%
SBD, 6, 26, 12.0, 46.15%
SBD, 7, 14, 6.0, 42.86%
SBD, 8, 8, 2.0, 25.00%
SBD, 9, 6, 1.0, 16.67%
SBD, 10, 5, 1.0, 20.00%
POWR, 1, 804, 435.0, 54.10%
POWR, 2, 368, 208.0, 56.52%
POWR, 3, 159, 95.0, 59.75%
POWR, 4, 64, 37.0, 57.81%
POWR, 5, 27, 16.0, 59.26%
POWR, 6, 11, 8.0, 72.73%
POWR, 7, 3, 3.0, 100.00%
BTG, 1, 856, 430.0, 50.23%
BTG, 2, 426, 204.0, 47.89%
BTG, 3, 222, 100.0, 45.05%
BTG, 4, 122, 53.0, 43.44%
BTG, 5, 69, 29.0, 42.03%
BTG, 6, 40, 19.0, 47.50%
BTG, 7, 21, 10.0, 47.62%
BTG, 8, 11, 5.0, 45.45%
BTG, 9, 6, 4.0, 66.67%
BTG, 10, 2, 2.0, 100.00%
ICX, 1, 803, 394.0, 49.07%
ICX, 2, 409, 197.0, 48.17%
ICX, 3, 212, 116.0, 54.72%
ICX, 4, 96, 50.0, 52.08%
ICX, 5, 46, 24.0, 52.17%
ICX, 6, 22, 9.0, 40.91%
ICX, 7, 13, 6.0, 46.15%
ICX, 8, 7, 3.0, 42.86%
ICX, 9, 4, 3.0, 75.00%
ICX, 10, 1, 1.0, 100.00%
EOS, 1, 772, 429.0, 55.57%
EOS, 2, 343, 182.0, 53.06%
EOS, 3, 161, 90.0, 55.90%
EOS, 4, 71, 39.0, 54.93%
EOS, 5, 32, 19.0, 59.38%
EOS, 6, 13, 7.0, 53.85%
EOS, 7, 6, 4.0, 66.67%
EOS, 8, 2, 1.0, 50.00%
EOS, 9, 1, 1.0, 100.00%
TRX, 1, 720, 383.0, 53.19%
TRX, 2, 337, 183.0, 54.30%
TRX, 3, 154, 87.0, 56.49%
TRX, 4, 67, 32.0, 47.76%
TRX, 5, 35, 19.0, 54.29%
TRX, 6, 16, 6.0, 37.50%
TRX, 7, 10, 2.0, 20.00%
TRX, 8, 8, 2.0, 25.00%
TRX, 9, 6, 1.0, 16.67%
TRX, 10, 5, 1.0, 20.00%
SC, 1, 756, 381.0, 50.40%
SC, 2, 374, 188.0, 50.27%
SC, 3, 185, 91.0, 49.19%
SC, 4, 94, 43.0, 45.74%
SC, 5, 51, 24.0, 47.06%
SC, 6, 27, 14.0, 51.85%
SC, 7, 13, 8.0, 61.54%
SC, 8, 5, 4.0, 80.00%
SC, 9, 1, 1.0, 100.00%
ONT, 1, 778, 397.0, 51.03%
ONT, 2, 381, 192.0, 50.39%
ONT, 3, 189, 98.0, 51.85%
ONT, 4, 91, 45.0, 49.45%
ONT, 5, 46, 24.0, 52.17%
ONT, 6, 22, 14.0, 63.64%
ONT, 7, 8, 6.0, 75.00%
ONT, 8, 2, 1.0, 50.00%
ONT, 9, 1, 1.0, 100.00%
ZIL, 1, 759, 390.0, 51.38%
ZIL, 2, 369, 186.0, 50.41%
ZIL, 3, 183, 88.0, 48.09%
ZIL, 4, 95, 44.0, 46.32%
ZIL, 5, 51, 25.0, 49.02%
ZIL, 6, 26, 15.0, 57.69%
ZIL, 7, 11, 8.0, 72.73%
ZIL, 8, 3, 3.0, 100.00%
