symbol, 상승일, 총 상승 회수, 하락 회수, 하락 확률%
STX, 1, 249, 120.0, 48.19%
STX, 2, 128, 66.0, 51.56%
STX, 3, 62, 34.0, 54.84%
STX, 4, 28, 16.0, 57.14%
STX, 5, 12, 8.0, 66.67%
STX, 6, 4, 2.0, 50.00%
STX, 7, 2, 1.0, 50.00%
STX, 8, 1, 1.0, 100.00%
SXP, 1, 350, 167.0, 47.71%
SXP, 2, 182, 95.0, 52.20%
SXP, 3, 87, 46.0, 52.87%
SXP, 4, 41, 26.0, 63.41%
SXP, 5, 15, 11.0, 73.33%
SXP, 6, 4, 4.0, 100.00%
T, 1, 67, 34.0, 50.75%
T, 2, 32, 13.0, 40.62%
T, 3, 19, 9.0, 47.37%
T, 4, 10, 5.0, 50.00%
T, 5, 5, 4.0, 80.00%
T, 6, 1, 1.0, 100.00%
TFUEL, 1, 575, 300.0, 52.17%
TFUEL, 2, 275, 145.0, 52.73%
TFUEL, 3, 130, 68.0, 52.31%
TFUEL, 4, 62, 29.0, 46.77%
TFUEL, 5, 33, 15.0, 45.45%
TFUEL, 6, 18, 7.0, 38.89%
TFUEL, 7, 11, 3.0, 27.27%
TFUEL, 8, 8, 2.0, 25.00%
TFUEL, 9, 6, 2.0, 33.33%
TFUEL, 10, 4, 1.0, 25.00%
THETA, 1, 673, 330.0, 49.03%
THETA, 2, 342, 172.0, 50.29%
THETA, 3, 170, 87.0, 51.18%
THETA, 4, 83, 43.0, 51.81%
THETA, 5, 40, 19.0, 47.50%
THETA, 6, 21, 6.0, 28.57%
THETA, 7, 15, 4.0, 26.67%
THETA, 8, 11, 3.0, 27.27%
THETA, 9, 8, 3.0, 37.50%
THETA, 10, 5, 3.0, 60.00%
TON, 1, 365, 156.0, 42.74%
TON, 2, 208, 91.0, 43.75%
TON, 3, 117, 55.0, 47.01%
TON, 4, 62, 30.0, 48.39%
TON, 5, 32, 16.0, 50.00%
TON, 6, 16, 9.0, 56.25%
TON, 7, 7, 4.0, 57.14%
TON, 8, 3, 3.0, 100.00%
TRX, 1, 774, 383.0, 49.48%
TRX, 2, 391, 193.0, 49.36%
TRX, 3, 198, 97.0, 48.99%
TRX, 4, 101, 49.0, 48.51%
TRX, 5, 52, 25.0, 48.08%
TRX, 6, 27, 14.0, 51.85%
TRX, 7, 13, 6.0, 46.15%
TRX, 8, 7, 3.0, 42.86%
TRX, 9, 4, 2.0, 50.00%
TRX, 10, 2, 1.0, 50.00%
TT, 1, 563, 273.0, 48.49%
TT, 2, 290, 136.0, 46.90%
TT, 3, 154, 75.0, 48.70%
TT, 4, 79, 35.0, 44.30%
TT, 5, 44, 18.0, 40.91%
TT, 6, 26, 10.0, 38.46%
TT, 7, 16, 7.0, 43.75%
TT, 8, 9, 3.0, 33.33%
TT, 9, 6, 3.0, 50.00%
TT, 10, 3, 1.0, 33.33%
UPP, 1, 654, 329.0, 50.31%
UPP, 2, 324, 162.0, 50.00%
UPP, 3, 162, 85.0, 52.47%
UPP, 4, 77, 38.0, 49.35%
UPP, 5, 39, 23.0, 58.97%
UPP, 6, 16, 9.0, 56.25%
UPP, 7, 7, 5.0, 71.43%
UPP, 8, 2, 2.0, 100.00%
VET, 1, 420, 222.0, 52.86%
VET, 2, 197, 103.0, 52.28%
VET, 3, 93, 48.0, 51.61%
VET, 4, 44, 24.0, 54.55%
VET, 5, 20, 10.0, 50.00%
VET, 6, 10, 5.0, 50.00%
VET, 7, 5, 4.0, 80.00%
VET, 8, 1, 1.0, 100.00%
WAVES, 1, 866, 444.0, 51.27%
WAVES, 2, 422, 218.0, 51.66%
WAVES, 3, 204, 105.0, 51.47%
WAVES, 4, 99, 47.0, 47.47%
WAVES, 5, 52, 29.0, 55.77%
WAVES, 6, 23, 11.0, 47.83%
WAVES, 7, 12, 6.0, 50.00%
WAVES, 8, 6, 3.0, 50.00%
WAVES, 9, 3, 3.0, 100.00%
WAXP, 1, 631, 313.0, 49.60%
WAXP, 2, 318, 155.0, 48.74%
WAXP, 3, 163, 82.0, 50.31%
WAXP, 4, 81, 35.0, 43.21%
WAXP, 5, 46, 22.0, 47.83%
WAXP, 6, 24, 10.0, 41.67%
WAXP, 7, 14, 7.0, 50.00%
WAXP, 8, 7, 4.0, 57.14%
WAXP, 9, 3, 2.0, 66.67%
WAXP, 10, 1, 1.0, 100.00%
WEMIX, 1, 93, 45.0, 48.39%
WEMIX, 2, 47, 25.0, 53.19%
WEMIX, 3, 22, 10.0, 45.45%
WEMIX, 4, 12, 6.0, 50.00%
WEMIX, 5, 6, 2.0, 33.33%
WEMIX, 6, 4, 2.0, 50.00%
WEMIX, 7, 2, 1.0, 50.00%
WEMIX, 8, 1, 1.0, 100.00%
XEC, 1, 299, 144.0, 48.16%
XEC, 2, 155, 74.0, 47.74%
XEC, 3, 81, 37.0, 45.68%
XEC, 4, 44, 19.0, 43.18%
XEC, 5, 25, 10.0, 40.00%
XEC, 6, 15, 5.0, 33.33%
XEC, 7, 10, 4.0, 40.00%
XEC, 8, 6, 2.0, 33.33%
XEC, 9, 4, 2.0, 50.00%
XEC, 10, 2, 1.0, 50.00%
XEM, 1, 829, 429.0, 51.75%
XEM, 2, 399, 214.0, 53.63%
XEM, 3, 185, 100.0, 54.05%
XEM, 4, 85, 44.0, 51.76%
XEM, 5, 41, 22.0, 53.66%
XEM, 6, 19, 14.0, 73.68%
XEM, 7, 5, 3.0, 60.00%
XEM, 8, 2, 2.0, 100.00%
XLM, 1, 836, 439.0, 52.51%
XLM, 2, 397, 210.0, 52.90%
XLM, 3, 187, 97.0, 51.87%
XLM, 4, 90, 46.0, 51.11%
XLM, 5, 44, 19.0, 43.18%
XLM, 6, 25, 11.0, 44.00%
XLM, 7, 14, 7.0, 50.00%
XLM, 8, 7, 2.0, 28.57%
XLM, 9, 5, 2.0, 40.00%
XLM, 10, 3, 2.0, 66.67%
XRP, 1, 826, 462.0, 55.93%
XRP, 2, 364, 209.0, 57.42%
XRP, 3, 155, 85.0, 54.84%
XRP, 4, 70, 38.0, 54.29%
XRP, 5, 32, 16.0, 50.00%
XRP, 6, 16, 9.0, 56.25%
XRP, 7, 7, 4.0, 57.14%
XRP, 8, 3, 2.0, 66.67%
XRP, 9, 1, 1.0, 100.00%
XTZ, 1, 380, 190.0, 50.00%
XTZ, 2, 189, 102.0, 53.97%
XTZ, 3, 87, 45.0, 51.72%
XTZ, 4, 42, 19.0, 45.24%
XTZ, 5, 23, 13.0, 56.52%
XTZ, 6, 10, 7.0, 70.00%
XTZ, 7, 3, 2.0, 66.67%
XTZ, 8, 1, 1.0, 100.00%
ZIL, 1, 735, 389.0, 52.93%
ZIL, 2, 345, 183.0, 53.04%
ZIL, 3, 162, 89.0, 54.94%
ZIL, 4, 73, 39.0, 53.42%
ZIL, 5, 34, 21.0, 61.76%
ZIL, 6, 13, 10.0, 76.92%
ZIL, 7, 3, 2.0, 66.67%
ZIL, 8, 1, 1.0, 100.00%
ZRX, 1, 727, 376.0, 51.72%
ZRX, 2, 350, 180.0, 51.43%
ZRX, 3, 170, 85.0, 50.00%
ZRX, 4, 85, 42.0, 49.41%
ZRX, 5, 43, 22.0, 51.16%
ZRX, 6, 21, 12.0, 57.14%
ZRX, 7, 9, 6.0, 66.67%
ZRX, 8, 3, 3.0, 100.00%
