symbol, 상승일, 총 상승 회수, 하락 회수, 하락 확률%
REP, 5, 47, 27.0, 57.45%
REP, 6, 20, 11.0, 55.00%
REP, 7, 9, 6.0, 66.67%
REP, 8, 3, 2.0, 66.67%
REP, 9, 1, 1.0, 100.00%
RFR, 1, 648, 333.0, 51.39%
RFR, 2, 314, 165.0, 52.55%
RFR, 3, 149, 77.0, 51.68%
RFR, 4, 72, 39.0, 54.17%
RFR, 5, 33, 21.0, 63.64%
RFR, 6, 12, 7.0, 58.33%
RFR, 7, 5, 4.0, 80.00%
RFR, 8, 1, 1.0, 100.00%
SAND, 1, 271, 142.0, 52.40%
SAND, 2, 128, 66.0, 51.56%
SAND, 3, 62, 31.0, 50.00%
SAND, 4, 31, 15.0, 48.39%
SAND, 5, 16, 8.0, 50.00%
SAND, 6, 8, 4.0, 50.00%
SAND, 7, 4, 3.0, 75.00%
SAND, 8, 1, 1.0, 100.00%
SBD, 1, 799, 431.0, 53.94%
SBD, 2, 368, 189.0, 51.36%
SBD, 3, 179, 89.0, 49.72%
SBD, 4, 90, 46.0, 51.11%
SBD, 5, 44, 24.0, 54.55%
SBD, 6, 20, 12.0, 60.00%
SBD, 7, 8, 5.0, 62.50%
SBD, 8, 3, 2.0, 66.67%
SBD, 9, 1, 1.0, 100.00%
SC, 1, 742, 382.0, 51.48%
SC, 2, 360, 195.0, 54.17%
SC, 3, 165, 90.0, 54.55%
SC, 4, 75, 41.0, 54.67%
SC, 5, 34, 18.0, 52.94%
SC, 6, 16, 8.0, 50.00%
SC, 7, 8, 3.0, 37.50%
SC, 8, 5, 1.0, 20.00%
SC, 9, 4, 1.0, 25.00%
SC, 10, 3, 1.0, 33.33%
SNT, 1, 839, 428.0, 51.01%
SNT, 2, 411, 211.0, 51.34%
SNT, 3, 200, 103.0, 51.50%
SNT, 4, 97, 52.0, 53.61%
SNT, 5, 45, 27.0, 60.00%
SNT, 6, 18, 9.0, 50.00%
SNT, 7, 9, 3.0, 33.33%
SNT, 8, 6, 2.0, 33.33%
SNT, 9, 4, 2.0, 50.00%
SNT, 10, 2, 1.0, 50.00%
SOL, 1, 140, 74.0, 52.86%
SOL, 2, 66, 32.0, 48.48%
SOL, 3, 34, 14.0, 41.18%
SOL, 4, 20, 10.0, 50.00%
SOL, 5, 10, 6.0, 60.00%
SOL, 6, 4, 3.0, 75.00%
SOL, 7, 1, 1.0, 100.00%
SRM, 1, 320, 164.0, 51.25%
SRM, 2, 156, 80.0, 51.28%
SRM, 3, 76, 37.0, 48.68%
SRM, 4, 39, 22.0, 56.41%
SRM, 5, 17, 8.0, 47.06%
SRM, 6, 9, 3.0, 33.33%
SRM, 7, 6, 2.0, 33.33%
SRM, 8, 4, 1.0, 25.00%
SRM, 9, 3, 1.0, 33.33%
SRM, 10, 2, 1.0, 50.00%
SSX, 1, 309, 138.0, 44.66%
SSX, 2, 171, 76.0, 44.44%
SSX, 3, 95, 38.0, 40.00%
SSX, 4, 57, 25.0, 43.86%
SSX, 5, 32, 13.0, 40.62%
SSX, 6, 19, 10.0, 52.63%
SSX, 7, 9, 3.0, 33.33%
SSX, 8, 6, 2.0, 33.33%
SSX, 9, 4, 2.0, 50.00%
SSX, 10, 2, 2.0, 100.00%
STEEM, 1, 840, 421.0, 50.12%
STEEM, 2, 419, 201.0, 47.97%
STEEM, 3, 218, 113.0, 51.83%
STEEM, 4, 105, 58.0, 55.24%
STEEM, 5, 47, 28.0, 59.57%
STEEM, 6, 19, 13.0, 68.42%
STEEM, 7, 6, 2.0, 33.33%
STEEM, 8, 4, 2.0, 50.00%
STEEM, 9, 2, 1.0, 50.00%
STEEM, 10, 1, 1.0, 100.00%
STMX, 1, 755, 390.0, 51.66%
STMX, 2, 364, 188.0, 51.65%
STMX, 3, 176, 90.0, 51.14%
STMX, 4, 86, 49.0, 56.98%
STMX, 5, 37, 26.0, 70.27%
STMX, 6, 11, 8.0, 72.73%
STMX, 7, 3, 2.0, 66.67%
STMX, 8, 1, 1.0, 100.00%
STORJ, 1, 856, 422.0, 49.30%
STORJ, 2, 433, 227.0, 52.42%
STORJ, 3, 206, 112.0, 54.37%
STORJ, 4, 94, 49.0, 52.13%
STORJ, 5, 45, 22.0, 48.89%
STORJ, 6, 23, 11.0, 47.83%
STORJ, 7, 12, 5.0, 41.67%
STORJ, 8, 7, 3.0, 42.86%
STORJ, 9, 4, 1.0, 25.00%
STORJ, 10, 3, 1.0, 33.33%
STPT, 1, 420, 191.0, 45.48%
STPT, 2, 228, 106.0, 46.49%
STPT, 3, 122, 59.0, 48.36%
STPT, 4, 63, 27.0, 42.86%
STPT, 5, 36, 16.0, 44.44%
STPT, 6, 20, 7.0, 35.00%
STPT, 7, 13, 5.0, 38.46%
STPT, 8, 8, 3.0, 37.50%
STPT, 9, 5, 2.0, 40.00%
STPT, 10, 3, 2.0, 66.67%
STRAX, 1, 862, 432.0, 50.12%
STRAX, 2, 430, 210.0, 48.84%
STRAX, 3, 220, 107.0, 48.64%
STRAX, 4, 113, 52.0, 46.02%
STRAX, 5, 61, 25.0, 40.98%
STRAX, 6, 36, 14.0, 38.89%
STRAX, 7, 22, 6.0, 27.27%
STRAX, 8, 16, 5.0, 31.25%
STRAX, 9, 11, 2.0, 18.18%
STRAX, 10, 9, 2.0, 22.22%
STRK, 1, 367, 182.0, 49.59%
STRK, 2, 185, 95.0, 51.35%
STRK, 3, 90, 40.0, 44.44%
STRK, 4, 50, 24.0, 48.00%
STRK, 5, 26, 14.0, 53.85%
STRK, 6, 12, 8.0, 66.67%
STRK, 7, 4, 4.0, 100.00%
