업비트 원화 종목 요일별 등/락 분석 (상승은 +1 하락은 -1 로 계산 하여 집계를 냄)
종목, 월, 화, 수, 목, 금, 토, 일, 상승, 하락, 계산 일수
FCT2, -12, 1, 12, 3, 5, 5, -2, 181, 169, 365
CBK, -10, 0, 16, 3, -8, 3, -2, 181, 179, 365
SAND, -20, 2, 12, -3, -13, 10, -4, 173, 189, 365
HUM, -11, 7, 7, -3, 0, 13, 4, 187, 170, 365
DOGE, -14, 0, 3, -12, 4, 9, 0, 167, 177, 365
STRK, -13, -9, 14, -6, 1, 16, -10, 178, 185, 365
PUNDIX, -4, -1, 5, -5, 1, 7, -1, 178, 176, 365
FLOW, -7, -3, 6, -10, -11, 12, -10, 170, 193, 365
DAWN, -10, 7, 13, 1, 3, 13, -5, 191, 169, 365
AXS, -23, 4, 6, -12, -7, 8, -4, 168, 196, 365
STX, -2, 5, 8, -8, -8, 17, -2, 185, 175, 365
XEC, -11, 7, 0, -7, 8, 7, -6, 174, 176, 365
SOL, -5, 5, -5, -6, -12, 15, -3, 117, 128, 246
MATIC, -10, 8, 5, -5, -2, 1, -6, 116, 125, 246
NU, -15, -5, 5, -6, -13, 5, -8, 101, 138, 246
AAVE, 1, 9, -2, -10, -10, -2, -9, 105, 128, 234
1INCH, -3, 5, 6, -7, -13, 7, -5, 109, 119, 234
ALGO, -6, 3, 3, -5, -3, 9, 1, 105, 103, 212
NEAR, 0, 6, -5, -9, -7, -2, -2, 83, 102, 185
WEMIX, -4, 7, 3, -7, -7, -6, -6, 69, 89, 158
AVAX, 2, 5, 3, -3, -11, 4, -6, 62, 68, 130
T, -8, -1, 5, -5, -6, -2, -1, 39, 57, 108
CELO, -1, 3, 3, -1, -1, -5, 3, 46, 45, 93
GMT, -2, 0, -1, -1, -1, -2, 2, 20, 25, 45
