[NFT]
YGG, 일드길드게임즈

[BNB]
EPX, 일립시스
CHESS, 트랜체스
XVS, 비너스
BSW, 비스왑
FOR, 포튜브
ALPACA, 알파카 파이낸스
CAKE, 팬케이크스왑
MDX, 엠덱스
BNB, 바이낸스코인
CREAM, 크림파이낸스

[KLAY]
DKA, 디카르고
MARO, 마로
ORC, 오르빗체인
KSP, 클레이스왑
BORA, 보라
SSX, 썸씽
HUM, 휴먼스케이프
KLAY, 클레이튼
PLA, 플레이댑
DON, 도니 파이낸스
PXL, 픽셀
WEMIX, 위믹스

[TERA]
LUNA, 테라
MIR, 미러 프로토콜
ANC, 앵커 프로토콜
USTC, 테라USD 클래식
LUNC, 테라 클래식

[SOL]
AUDIO, 오디우스
SOL, 솔라나
SRM, 세럼
MNGO, 망고
MAPS, 맵스
OXY, 옥시젠
FIDA, 본피다
RAY, 레이디움

[MATIC]
AAVE, 에이브
CRV, 커브
SUSHI, 스시
QUICK, 퀵스왑
MATIC, 폴리곤
BAL, 발란서
BIFI, 비피 파이낸스

[DOT]
DOT, 폴카닷
CLV, 클로버네트워크
POLS, 폴카스타터
GLMR, 문빔
ANKR, 앵커
ASTR, 아스타
KSM, 쿠사마
PHA, 팔라네트워크
IDV, 이다볼네트워크

[FTM]
YFI, 와이언파이낸스
FTM, 팬텀
CRV, 커브
SPELL, 스펠토큰
BIFI, 비피 파이낸스

[AVAX]
JOE, 조
AAVE, 에이브
TIME, 크로노테크
CRV, 커브
AVAX, 아발란체
QI, 벤키

[KAKAO]
DKA, 디카르고
BORA, 보라
HUM, 휴먼스케이프
MARO, 마로

[MAJOR]
BTC, 비트코인
ETH, 이더리움
ADA, 에이다
XRP, 리플
SOL, 솔라나
DOT, 폴카닷
DOGE, 도지코인

[SECURITY]
UPP, 센티넬프로토콜

[MEDICAL]
SOLVE, 솔브케어
MED, 메디블록

[BINANCE]
1INCH, 1인치네트워크
AAVE, 에이브
FOR, 포튜브
ANKR, 앵커
LINK, 체인링크

