Á¾¸ñ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
MFT ,0,4,2,0,6,1,4,-2,2,-4,-2,-1,4,3,0,-4,-2,0,0,-1,2,-2,-1,4,2,2,4,0,3,10,4
ONG ,-2,6,8,2,6,4,0,0,8,0,3,-6,6,-2,0,-2,-1,2,-4,-2,-2,-2,4,4,-3,0,2,3,5,1,1
GAS ,1,6,2,0,4,2,0,2,2,-2,0,-4,5,3,-4,-6,-6,0,-4,-4,-2,0,0,2,-2,0,-2,4,3,1,5
UPP ,10,6,1,0,2,2,3,-2,4,2,0,-4,6,-1,0,1,2,-2,-2,3,2,2,1,-1,4,2,6,-4,1,1,3
ELF ,11,2,2,4,-2,5,0,-2,4,-2,4,-6,6,-4,2,-2,3,-2,0,-3,-2,2,6,0,-2,4,4,2,5,4,0
KNC ,6,2,5,0,4,2,-2,2,2,0,-1,-5,4,-3,0,0,-3,4,-4,0,0,0,0,0,-2,6,2,-1,1,5,1
BSV ,2,2,4,-4,0,2,-4,2,4,-10,0,-10,6,4,-2,-4,-4,2,-2,-4,-4,0,0,2,0,0,4,6,1,1,1
THETA ,4,4,2,1,4,2,2,6,2,-6,0,-6,0,0,1,0,-2,2,-2,4,-2,4,4,0,6,0,2,-4,5,0,-1
QKC ,8,7,4,2,-2,3,2,0,4,0,10,-4,6,5,0,-7,-2,1,0,-2,0,-1,-2,2,1,3,4,0,1,1,-2
BTT ,3,7,8,-5,3,2,0,6,4,-6,0,-5,1,-2,-3,-8,-1,-1,-1,1,-5,-2,0,2,-1,3,0,-3,4,4,3
MOC ,4,4,2,0,4,4,0,3,4,-2,4,-2,5,-1,0,-2,0,0,-2,4,3,2,2,-2,1,4,1,0,-1,5,1
ENJ ,0,-2,4,6,3,2,0,2,2,-8,6,0,0,7,0,-2,-3,3,-4,2,-4,0,3,2,1,1,-2,6,-1,3,2
TFUEL ,3,5,4,4,2,-3,4,3,2,-6,0,-2,0,3,-2,-4,-5,3,1,1,-2,4,6,-2,6,2,2,-4,5,4,2
MANA ,1,2,6,4,5,4,2,0,6,-4,4,2,2,1,2,-4,-3,2,-2,-2,-2,2,2,2,-4,2,4,2,-1,5,0
ANKR ,8,0,4,0,1,1,3,3,3,-8,4,1,3,9,0,0,-1,3,-4,0,-2,-3,0,0,-2,3,2,-2,-3,3,1
AERGO ,2,5,2,4,2,2,-2,-5,4,2,2,-6,7,3,3,1,-2,0,4,-6,-1,2,2,2,4,4,6,-3,-1,5,5
ATOM ,2,2,2,0,2,0,0,-1,6,-2,0,-4,6,-2,0,0,-6,2,0,1,-4,-4,-2,-2,-6,2,2,2,3,1,3
TT ,5,2,4,1,8,-2,0,-2,4,-1,2,0,6,5,1,-1,-1,0,-2,-2,-1,1,-2,2,2,2,3,0,2,1,2
CRE ,4,7,2,-2,8,6,0,0,6,-2,4,-2,2,4,6,-1,3,0,4,-3,2,0,-4,2,7,2,3,-3,3,3,2
MBL ,4,5,2,-2,5,4,-1,-1,5,-5,4,-4,4,1,0,0,-3,-1,6,-4,-1,0,0,2,3,0,1,-3,1,1,3
WAXP ,4,6,4,4,2,1,-2,1,2,-1,4,0,4,4,3,-6,-2,0,-4,-3,0,2,0,4,-4,5,4,2,-1,3,-1
HBAR ,4,6,5,0,0,1,-3,4,4,-6,6,3,8,4,2,-2,-1,1,1,0,-3,-2,2,-2,0,4,-1,2,3,3,1
MED ,4,2,3,3,0,2,-4,4,4,-2,4,-1,6,4,0,-2,0,-2,-3,-2,1,-1,-2,4,5,4,4,0,3,3,2
MLK ,4,6,9,0,3,10,-2,-2,6,-6,4,-2,4,4,2,-4,-4,0,0,-4,-1,2,2,4,-1,2,3,-4,0,5,5
STPT ,4,3,4,0,0,2,0,-2,6,-3,5,-3,4,-1,4,-5,3,-1,-2,2,-1,-4,4,2,3,2,6,0,-2,1,1
ORBS ,3,2,3,0,8,6,0,-2,6,-1,6,-3,2,-1,4,-3,-2,-2,-1,-2,5,-2,-2,0,4,0,6,0,2,5,-1
VET ,6,6,-1,-3,7,6,-3,-1,6,-6,4,-6,6,4,4,-6,-5,6,-4,5,-2,-2,1,2,-2,4,2,0,3,0,1
CHZ ,-2,0,4,-2,2,5,-4,-2,4,-2,7,4,0,0,2,-2,-5,2,-4,1,0,-2,3,0,-1,4,4,2,5,3,-1
STMX ,0,3,-1,-1,0,6,-2,4,4,-4,0,-4,6,0,0,-2,2,0,-4,0,1,-2,-2,6,-2,0,4,0,5,7,3
