date , open, high, low, close, volume, high%, low%, close%
44 2017-11-08 Wed , 8244000.0 , 8639000.0 , 8060000.0 , 8339000.0 , 2280.72049163 , 4.791% , -2.232% , 1.152%
45 2017-11-09 Thu , 8338000.0 , 8340000.0 , 8041000.0 , 8148000.0 , 2491.80910057 , 0.024% , -3.562% , -2.279%
46 2017-11-10 Fri , 8150000.0 , 8240000.0 , 7320000.0 , 7541000.0 , 3612.89564315 , 1.104% , -10.184% , -7.472%
47 2017-11-11 Sat , 7541000.0 , 7897000.0 , 7009000.0 , 7231000.0 , 3407.25730505 , 4.721% , -7.055% , -4.111%
48 2017-11-12 Sun , 7231000.0 , 8250000.0 , 6476000.0 , 7132000.0 , 8255.02328981 , 14.092% , -10.441% , -1.369%
49 2017-11-13 Mon , 7132000.0 , 7898000.0 , 6921000.0 , 7487000.0 , 9275.45757255 , 10.740% , -2.958% , 4.978%
50 2017-11-14 Tue , 7471000.0 , 7699000.0 , 7430000.0 , 7591000.0 , 6500.25828248 , 3.052% , -0.549% , 1.606%
51 2017-11-15 Wed , 7592000.0 , 8397000.0 , 7560000.0 , 8350000.0 , 7565.29668171 , 10.603% , -0.421% , 9.984%
52 2017-11-16 Thu , 8350000.0 , 8750000.0 , 8150000.0 , 8710000.0 , 7885.12189571 , 4.790% , -2.395% , 4.311%
53 2017-11-17 Fri , 8710000.0 , 8899000.0 , 8400000.0 , 8541000.0 , 8479.64307876 , 2.170% , -3.559% , -1.940%
54 2017-11-18 Sat , 8542000.0 , 8699000.0 , 8356000.0 , 8618000.0 , 8359.23158399 , 1.838% , -2.177% , 0.890%
55 2017-11-19 Sun , 8618000.0 , 8888000.0 , 8495000.0 , 8770000.0 , 6018.17460761 , 3.133% , -1.427% , 1.764%
56 2017-11-20 Mon , 8770000.0 , 9181000.0 , 8655000.0 , 9025000.0 , 11144.14671373 , 4.686% , -1.311% , 2.908%
57 2017-11-21 Tue , 8994000.0 , 9230000.0 , 8500000.0 , 8944000.0 , 14774.66683164 , 2.624% , -5.493% , -0.556%
58 2017-11-22 Wed , 8944000.0 , 9200000.0 , 8932000.0 , 9084000.0 , 13847.87059897 , 2.862% , -0.134% , 1.565%
59 2017-11-23 Thu , 9084000.0 , 9134000.0 , 8905000.0 , 8943000.0 , 13841.87719654 , 0.550% , -1.970% , -1.552%
